species,iaffd_code,ingredient,inclusion_percent
Nile Tilapia - Starter,10018,"Fish meal, sardine, 66% CP",5
Nile Tilapia - Starter,23002,"Poultry by-product meal, feed-grade, 60% CP",10
Nile Tilapia - Starter,30346,"Corn gluten meal, 62% CP",7
Nile Tilapia - Starter,30355,"Corn, grain",6.54
Nile Tilapia - Starter,30505,"Distillers dried grains with solubles, DDGS",9.54
Nile Tilapia - Starter,30944,"Rice, broken",15
Nile Tilapia - Starter,31218,"Soy protein concentrate, 65% CP",8.29
Nile Tilapia - Starter,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",35
Nile Tilapia - Starter,50116,"Fish oil, sardine, Pacific-California",0.56
Nile Tilapia - Starter,52105,Canola oil,0.76
Nile Tilapia - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Nile Tilapia - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Nile Tilapia - Starter,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",1.47
Nile Tilapia - Starter,70146,"BHT, powder, 0.1%",0.1
Nile Tilapia - Grower,10019,"Fish meal, tuna, mechanically extracted, 58% CP",3
Nile Tilapia - Grower,23002,"Poultry by-product meal, feed-grade, 60% CP",7
Nile Tilapia - Grower,30307,"Cassava, tuber, meal",6
Nile Tilapia - Grower,30346,"Corn gluten meal, 62% CP",5
Nile Tilapia - Grower,30907,"Rapeseed/Canola meal, solvent extracted, 39% CP",8
Nile Tilapia - Grower,30944,"Rice, broken",7.8
Nile Tilapia - Grower,30937,Rice bran,6.77
Nile Tilapia - Grower,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",40
Nile Tilapia - Grower,31610,"Wheat, flour",10.11
Nile Tilapia - Grower,50116,"Fish oil, sardine, Pacific-California",0.81
Nile Tilapia - Grower,52113,Palm oil,2.78
Nile Tilapia - Grower,52117,Soybean oil,0.81
Nile Tilapia - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Nile Tilapia - Grower,61111,DL-Methionine,0.09
Nile Tilapia - Grower,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Nile Tilapia - Grower,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.99
Nile Tilapia - Grower,70146,"BHT, powder, 0.1%",0.1
Nile Tilapia - Finisher,10032,"Fish meal, mixed fish, SEA, 60% CP",1
Nile Tilapia - Finisher,23002,"Poultry by-product meal, feed-grade, 60% CP",4
Nile Tilapia - Finisher,30307,"Cassava, tuber, meal",6
Nile Tilapia - Finisher,30355,"Corn, grain",10
Nile Tilapia - Finisher,30505,"Distillers dried grains with solubles, DDGS",3.56
Nile Tilapia - Finisher,30907,"Rapeseed/Canola meal, solvent extracted, 39% CP",7
Nile Tilapia - Finisher,30944,"Rice, broken",4.05
Nile Tilapia - Finisher,30937,Rice bran,9.95
Nile Tilapia - Finisher,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",29.11
Nile Tilapia - Finisher,31617,Wheat pollard,20.52
Nile Tilapia - Finisher,52117,Soybean oil,3.01
Nile Tilapia - Finisher,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Nile Tilapia - Finisher,61111,DL-Methionine,0.21
Nile Tilapia - Finisher,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Nile Tilapia - Finisher,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.74
Nile Tilapia - Finisher,70146,"BHT, powder, 0.1%",0.1
Whiteleg Shrimp - Starter,10002,"Fish meal, anchoveta, South America, 67% CP",5
Whiteleg Shrimp - Starter,10018,"Fish meal, sardine, 66% CP",7
Whiteleg Shrimp - Starter,11001,"Fish solubles, condensed, 31% CP",1.5
Whiteleg Shrimp - Starter,15001,Squid liver meal,3
Whiteleg Shrimp - Starter,23002,"Poultry by-product meal, feed-grade, 60% CP",11.84
Whiteleg Shrimp - Starter,30346,"Corn gluten meal, 62% CP",7.17
Whiteleg Shrimp - Starter,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",34
Whiteleg Shrimp - Starter,31610,"Wheat, flour",27.52
Whiteleg Shrimp - Starter,50112,"Fish oil, Atlantic salmon, farmed by product",1
Whiteleg Shrimp - Starter,54105,Soy lecithin,0.72
Whiteleg Shrimp - Starter,60113,"Vitamin premix IAFFD Standard, FW shrimp grower, 0.4%",0.4
Whiteleg Shrimp - Starter,61111,DL-Methionine,0.09
Whiteleg Shrimp - Starter,61108,L-Lysine,0.41
Whiteleg Shrimp - Starter,62119,"Mineral premix IAFFD Standard, SW shrimp grower, 0.25%",0.25
Whiteleg Shrimp - Starter,70146,"BHT, powder, 0.1%",0.1
Whiteleg Shrimp - Grower,10002,"Fish meal, anchoveta, South America, 67% CP",3
Whiteleg Shrimp - Grower,10009,"Fish meal, anchovy, 67% CP",9
Whiteleg Shrimp - Grower,11116,"Tuna liquid hydrolysate w tuna oil, Actipal EM1, Diana Aqua",1.5
Whiteleg Shrimp - Grower,15001,Squid liver meal,4
Whiteleg Shrimp - Grower,23002,"Poultry by-product meal, feed-grade, 60% CP",12
Whiteleg Shrimp - Grower,31218,"Soy protein concentrate, 65% CP",3.4
Whiteleg Shrimp - Grower,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",35
Whiteleg Shrimp - Grower,31610,"Wheat, flour",27.84
Whiteleg Shrimp - Grower,50116,"Fish oil, sardine, Pacific-California",0.92
Whiteleg Shrimp - Grower,52105,Canola oil,0.81
Whiteleg Shrimp - Grower,54105,Soy lecithin,0.1
Whiteleg Shrimp - Grower,60113,"Vitamin premix IAFFD Standard, FW shrimp grower, 0.4%",0.4
Whiteleg Shrimp - Grower,60132,"Choline chloride, 60% choline",0.1
Whiteleg Shrimp - Grower,61111,DL-Methionine,0.08
Whiteleg Shrimp - Grower,62119,"Mineral premix IAFFD Standard, SW shrimp grower, 0.25%",0.25
Whiteleg Shrimp - Grower,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",1.5
Whiteleg Shrimp - Grower,70146,"BHT, powder, 0.1%",0.1
Whiteleg Shrimp - Finisher,10002,"Fish meal, anchoveta, South America, 67% CP",3
Whiteleg Shrimp - Finisher,11001,"Fish solubles, condensed, 31% CP",3
Whiteleg Shrimp - Finisher,10032,"Fish meal, mixed fish, SEA, 60% CP",5
Whiteleg Shrimp - Finisher,15001,Squid liver meal,3
Whiteleg Shrimp - Finisher,23005,"Poultry by-product meal, low ash, 62% CP",5.28
Whiteleg Shrimp - Finisher,30505,"Distillers dried grains with solubles, DDGS",6
Whiteleg Shrimp - Finisher,30907,"Rapeseed/Canola meal, solvent extracted, 39% CP",5
Whiteleg Shrimp - Finisher,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",35
Whiteleg Shrimp - Finisher,31610,"Wheat, flour",32
Whiteleg Shrimp - Finisher,50112,"Fish oil, Atlantic salmon, farmed by product",1
Whiteleg Shrimp - Finisher,54105,Soy lecithin,0.83
Whiteleg Shrimp - Finisher,60113,"Vitamin premix IAFFD Standard, FW shrimp grower, 0.4%",0.4
Whiteleg Shrimp - Finisher,61108,L-Lysine,0.13
Whiteleg Shrimp - Finisher,62119,"Mineral premix IAFFD Standard, SW shrimp grower, 0.25%",0.25
Whiteleg Shrimp - Finisher,70146,"BHT, powder, 0.1%",0.1
Atlantic Salmon - Starter,10002,"Fish meal, anchoveta, South America, 67% CP",22
Atlantic Salmon - Starter,14004,Krill meal,5
Atlantic Salmon - Starter,20003,"Blood meal, whole, spray-dried",5
Atlantic Salmon - Starter,21001,"Feather meal A, 77% CP",3
Atlantic Salmon - Starter,23005,"Poultry by-product meal, low ash, 62% CP",10
Atlantic Salmon - Starter,30347,"Corn gluten meal, 68% CP",7.5
Atlantic Salmon - Starter,31218,"Soy protein concentrate, 65% CP",4.72
Atlantic Salmon - Starter,31607,"Wheat gluten meal, 78% CP",3
Atlantic Salmon - Starter,31610,"Wheat, flour",18.65
Atlantic Salmon - Starter,50105,"Fish oil, anchovy",6.5
Atlantic Salmon - Starter,52105,Canola oil,10
Atlantic Salmon - Starter,54105,Soy lecithin,2
Atlantic Salmon - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Atlantic Salmon - Starter,61108,L-Lysine,0.92
Atlantic Salmon - Starter,61107,L-Histidine,0.19
Atlantic Salmon - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Atlantic Salmon - Starter,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.69
Atlantic Salmon - Starter,70146,"BHT, powder, 0.1%",0.1
Atlantic Salmon - Grower,10002,"Fish meal, anchoveta, South America, 67% CP",16
Atlantic Salmon - Grower,14004,Krill meal,3
Atlantic Salmon - Grower,20003,"Blood meal, whole, spray-dried",5
Atlantic Salmon - Grower,21001,"Feather meal A, 77% CP",3
Atlantic Salmon - Grower,23005,"Poultry by-product meal, low ash, 62% CP",12
Atlantic Salmon - Grower,30347,"Corn gluten meal, 68% CP",8
Atlantic Salmon - Grower,31218,"Soy protein concentrate, 65% CP",5.7
Atlantic Salmon - Grower,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",3
Atlantic Salmon - Grower,31607,"Wheat gluten meal, 78% CP",3
Atlantic Salmon - Grower,31610,"Wheat, flour",15.66
Atlantic Salmon - Grower,50105,"Fish oil, anchovy",8.26
Atlantic Salmon - Grower,51106,Poultry fat,3
Atlantic Salmon - Grower,52105,Canola oil,10
Atlantic Salmon - Grower,54105,Soy lecithin,2
Atlantic Salmon - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Atlantic Salmon - Grower,61108,L-Lysine,0.9
Atlantic Salmon - Grower,61107,L-Histidine,0.17
Atlantic Salmon - Grower,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Atlantic Salmon - Grower,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.46
Atlantic Salmon - Grower,70146,"BHT, powder, 0.1%",0.1
Atlantic Salmon - Finisher,10002,"Fish meal, anchoveta, South America, 67% CP",10
Atlantic Salmon - Finisher,14004,Krill meal,1
Atlantic Salmon - Finisher,20003,"Blood meal, whole, spray-dried",5
Atlantic Salmon - Finisher,21001,"Feather meal A, 77% CP",4
Atlantic Salmon - Finisher,23005,"Poultry by-product meal, low ash, 62% CP",12
Atlantic Salmon - Finisher,30347,"Corn gluten meal, 68% CP",6.12
Atlantic Salmon - Finisher,31218,"Soy protein concentrate, 65% CP",7
Atlantic Salmon - Finisher,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",3
Atlantic Salmon - Finisher,31607,"Wheat gluten meal, 78% CP",2
Atlantic Salmon - Finisher,31610,"Wheat, flour",19.25
Atlantic Salmon - Finisher,50105,"Fish oil, anchovy",10.34
Atlantic Salmon - Finisher,51106,Poultry fat,3
Atlantic Salmon - Finisher,52105,Canola oil,13
Atlantic Salmon - Finisher,54105,Soy lecithin,2
Atlantic Salmon - Finisher,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Atlantic Salmon - Finisher,61108,L-Lysine,1.01
Atlantic Salmon - Finisher,61107,L-Histidine,0.2
Atlantic Salmon - Finisher,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Atlantic Salmon - Finisher,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.24
Atlantic Salmon - Finisher,70146,"BHT, powder, 0.1%",0.1
Rainbow trout - Starter,10002,"Fish meal, anchoveta, South America, 67% CP",9
Rainbow trout - Starter,14004,Krill meal,3
Rainbow trout - Starter,21001,"Feather meal A, 77% CP",4.5
Rainbow trout - Starter,22002,"Meat and bone meal, 50% CP",5
Rainbow trout - Starter,23005,"Poultry by-product meal, low ash, 62% CP",10
Rainbow trout - Starter,31218,"Soy protein concentrate, 65% CP",18.78
Rainbow trout - Starter,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",10
Rainbow trout - Starter,31607,"Wheat gluten meal, 78% CP",3
Rainbow trout - Starter,31610,"Wheat, flour",14.63
Rainbow trout - Starter,31605,Wheat bran,5.05
Rainbow trout - Starter,50116,"Fish oil, sardine, Pacific-California",3.76
Rainbow trout - Starter,52105,Canola oil,11.57
Rainbow trout - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Rainbow trout - Starter,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.1
Rainbow trout - Starter,60132,"Choline chloride, 60% choline",0.3
Rainbow trout - Starter,61111,DL-Methionine,0.04
Rainbow trout - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Rainbow trout - Starter,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.41
Rainbow trout - Starter,70146,"BHT, powder, 0.1%",0.1
Rainbow trout - Grower,10002,"Fish meal, anchoveta, South America, 67% CP",8
Rainbow trout - Grower,14004,Krill meal,3
Rainbow trout - Grower,21001,"Feather meal A, 77% CP",4.5
Rainbow trout - Grower,22002,"Meat and bone meal, 50% CP",5
Rainbow trout - Grower,23005,"Poultry by-product meal, low ash, 62% CP",10
Rainbow trout - Grower,31218,"Soy protein concentrate, 65% CP",16.29
Rainbow trout - Grower,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",10
Rainbow trout - Grower,31607,"Wheat gluten meal, 78% CP",3
Rainbow trout - Grower,31610,"Wheat, flour",14.63
Rainbow trout - Grower,31605,Wheat bran,6.56
Rainbow trout - Grower,50116,"Fish oil, sardine, Pacific-California",3.18
Rainbow trout - Grower,52105,Canola oil,14.14
Rainbow trout - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Rainbow trout - Grower,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.1
Rainbow trout - Grower,60132,"Choline chloride, 60% choline",0.3
Rainbow trout - Grower,61111,DL-Methionine,0.07
Rainbow trout - Grower,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Rainbow trout - Grower,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.37
Rainbow trout - Grower,70146,"BHT, powder, 0.1%",0.1
Rainbow trout - Finisher,10002,"Fish meal, anchoveta, South America, 67% CP",7.5
Rainbow trout - Finisher,14004,Krill meal,3
Rainbow trout - Finisher,21001,"Feather meal A, 77% CP",4.5
Rainbow trout - Finisher,22002,"Meat and bone meal, 50% CP",5
Rainbow trout - Finisher,23005,"Poultry by-product meal, low ash, 62% CP",10
Rainbow trout - Finisher,31218,"Soy protein concentrate, 65% CP",14.26
Rainbow trout - Finisher,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",10
Rainbow trout - Finisher,31607,"Wheat gluten meal, 78% CP",3
Rainbow trout - Finisher,31610,"Wheat, flour",14.99
Rainbow trout - Finisher,31605,Wheat bran,4.58
Rainbow trout - Finisher,50116,"Fish oil, sardine, Pacific-California",2.24
Rainbow trout - Finisher,52105,Canola oil,19.26
Rainbow trout - Finisher,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Rainbow trout - Finisher,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.1
Rainbow trout - Finisher,60132,"Choline chloride, 60% choline",0.3
Rainbow trout - Finisher,61111,DL-Methionine,0.17
Rainbow trout - Finisher,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Rainbow trout - Finisher,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.24
Rainbow trout - Finisher,70146,"BHT, powder, 0.1%",0.1
Asian Seabass - Starter,10009,"Fish meal, anchovy, 67% CP",2
Asian Seabass - Starter,10018,"Fish meal, sardine, 66% CP",13
Asian Seabass - Starter,15001,Squid liver meal,3
Asian Seabass - Starter,20003,"Blood meal, whole, spray-dried",4
Asian Seabass - Starter,21002,"Feather meal, 81% CP",3
Asian Seabass - Starter,22002,"Meat and bone meal, 50% CP",10
Asian Seabass - Starter,23005,"Poultry by-product meal, low ash, 62% CP",14
Asian Seabass - Starter,31217,"Soy protein concentrate, 60% CP",12.46
Asian Seabass - Starter,31291,"Soybean meal, USA, dehulled, Standard, 46% CP",11.65
Asian Seabass - Starter,31607,"Wheat gluten meal, 78% CP",4
Asian Seabass - Starter,31610,"Wheat, flour",16.42
Asian Seabass - Starter,50112,"Fish oil, Atlantic salmon, farmed by product",1.5
Asian Seabass - Starter,52117,Soybean oil,1.76
Asian Seabass - Starter,54105,Soy lecithin,2
Asian Seabass - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Asian Seabass - Starter,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.05
Asian Seabass - Starter,60132,"Choline chloride, 60% choline",0.3
Asian Seabass - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Asian Seabass - Starter,70146,"BHT, powder, 0.1%",0.1
Asian Seabass - Grower,10009,"Fish meal, anchovy, 67% CP",2
Asian Seabass - Grower,10018,"Fish meal, sardine, 66% CP",8
Asian Seabass - Grower,15001,Squid liver meal,3
Asian Seabass - Grower,20003,"Blood meal, whole, spray-dried",4
Asian Seabass - Grower,21002,"Feather meal, 81% CP",3
Asian Seabass - Grower,22002,"Meat and bone meal, 50% CP",8
Asian Seabass - Grower,23005,"Poultry by-product meal, low ash, 62% CP",10
Asian Seabass - Grower,31217,"Soy protein concentrate, 60% CP",9.67
Asian Seabass - Grower,31291,"Soybean meal, USA, dehulled, Standard, 46% CP",19.49
Asian Seabass - Grower,31607,"Wheat gluten meal, 78% CP",2
Asian Seabass - Grower,31610,"Wheat, flour",22.21
Asian Seabass - Grower,50112,"Fish oil, Atlantic salmon, farmed by product",1
Asian Seabass - Grower,52117,Soybean oil,4.34
Asian Seabass - Grower,54105,Soy lecithin,2
Asian Seabass - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Asian Seabass - Grower,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.05
Asian Seabass - Grower,60132,"Choline chloride, 60% choline",0.3
Asian Seabass - Grower,61111,DL-Methionine,0.09
Asian Seabass - Grower,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Asian Seabass - Grower,70146,"BHT, powder, 0.1%",0.1
Asian Seabass - Finisher,10009,"Fish meal, anchovy, 67% CP",2
Asian Seabass - Finisher,10018,"Fish meal, sardine, 66% CP",5
Asian Seabass - Finisher,15001,Squid liver meal,2.5
Asian Seabass - Finisher,20003,"Blood meal, whole, spray-dried",4
Asian Seabass - Finisher,21002,"Feather meal, 81% CP",3
Asian Seabass - Finisher,22002,"Meat and bone meal, 50% CP",6
Asian Seabass - Finisher,23005,"Poultry by-product meal, low ash, 62% CP",6
Asian Seabass - Finisher,31217,"Soy protein concentrate, 60% CP",11.41
Asian Seabass - Finisher,31291,"Soybean meal, USA, dehulled, Standard, 46% CP",25.3
Asian Seabass - Finisher,31610,"Wheat, flour",21.94
Asian Seabass - Finisher,50112,"Fish oil, Atlantic salmon, farmed by product",1
Asian Seabass - Finisher,52117,Soybean oil,8.44
Asian Seabass - Finisher,54105,Soy lecithin,2
Asian Seabass - Finisher,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Asian Seabass - Finisher,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.05
Asian Seabass - Finisher,60132,"Choline chloride, 60% choline",0.3
Asian Seabass - Finisher,61111,DL-Methionine,0.2
Asian Seabass - Finisher,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Asian Seabass - Finisher,70146,"BHT, powder, 0.1%",0.1
European Seabass - Starter,10002,"Fish meal, anchoveta, South America, 67% CP",16
European Seabass - Starter,14004,Krill meal,3
European Seabass - Starter,23002,"Poultry by-product meal, feed-grade, 60% CP",11.61
European Seabass - Starter,30347,"Corn gluten meal, 68% CP",10
European Seabass - Starter,31218,"Soy protein concentrate, 65% CP",16.72
European Seabass - Starter,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",12.1
European Seabass - Starter,31607,"Wheat gluten meal, 78% CP",3
European Seabass - Starter,31610,"Wheat, flour",14.15
European Seabass - Starter,50105,"Fish oil, anchovy",3.33
European Seabass - Starter,52105,Canola oil,7.6
European Seabass - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
European Seabass - Starter,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.1
European Seabass - Starter,60132,"Choline chloride, 60% choline",0.3
European Seabass - Starter,61108,L-Lysine,1
European Seabass - Starter,61117,L-Taurine,0.23
European Seabass - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
European Seabass - Starter,70146,"BHT, powder, 0.1%",0.1
European Seabass - Grower,10002,"Fish meal, anchoveta, South America, 67% CP",15
European Seabass - Grower,14004,Krill meal,3
European Seabass - Grower,23002,"Poultry by-product meal, feed-grade, 60% CP",10.61
European Seabass - Grower,30347,"Corn gluten meal, 68% CP",10
European Seabass - Grower,31218,"Soy protein concentrate, 65% CP",13.56
European Seabass - Grower,31269,"Soybean meal, USA, dehulled, Standard, 47% CP",15
European Seabass - Grower,31607,"Wheat gluten meal, 78% CP",3
European Seabass - Grower,31610,"Wheat, flour",14.16
European Seabass - Grower,50105,"Fish oil, anchovy",1.88
European Seabass - Grower,52105,Canola oil,11.31
European Seabass - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
European Seabass - Grower,60128,"Rovimix-stay-C 35, ascorbyl-monophosphate, DSM",0.1
European Seabass - Grower,60132,"Choline chloride, 60% choline",0.3
European Seabass - Grower,61108,L-Lysine,1
